date,outdated dependencies,all dependencies,kotlin lines,java lines,kotlin compiler warnings
25/09/2021,53,67
26/09/2021,53,67
27/09/2021,53,67
28/09/2021,53,67
29/09/2021,53,67
30/09/2021,53,67
01/10/2021,53,67
02/10/2021,53,67
03/10/2021,53,67
04/10/2021,53,67
05/10/2021,49,68,82677,40160
06/10/2021,49,68,82526,40160
07/10/2021,49,68,82681,40181
08/10/2021,49,68,82681,40181
09/10/2021,50,69,83005,40179
10/10/2021,50,69,83005,40179
11/10/2021,50,69,83005,40179
12/10/2021,50,69,83005,40179
13/10/2021,50,69,83005,40179
14/10/2021,50,69,83092,40179
15/10/2021,50,69,83070,40173
16/10/2021,50,69,83045,40161
17/10/2021,50,69,83045,40161
18/10/2021,50,69,83045,40161
19/10/2021,50,69,83045,40161
20/10/2021,51,70,83430,40161
21/10/2021,52,70,83430,40161
22/10/2021,52,70,83531,40161
23/10/2021,52,70,83535,40161
24/10/2021,52,70,83535,40161,95
25/10/2021,52,70,83535,40161,95
26/10/2021,52,70,83535,40161,95
27/10/2021,52,70,83535,40161,95
28/10/2021,52,70,83834,40161,95
29/10/2021,51,70,83834,40161,95
30/10/2021,51,70,84290,40185,104
31/10/2021,51,70,84290,40185,104
01/11/2021,51,70,84290,40185,104
02/11/2021,51,70,84290,40185,104
03/11/2021,51,70,84370,40185,104
04/11/2021,51,70,84370,40185,104
05/11/2021,51,70,84439,40185,104
06/11/2021,51,70,84691,40277,104
07/11/2021,51,70,84691,40277,104
08/11/2021,51,70,84691,40277,104
09/11/2021,51,70,84704,40277,104
10/11/2021,51,70,84704,40277,104
11/11/2021,51,70,84849,40282,104
12/11/2021,51,70,84849,40282,104
13/11/2021,51,70,85027,40271,126
14/11/2021,51,70,85027,40271,126
15/11/2021,51,70,85027,40271,126
16/11/2021,51,70,84997,40265,126
17/11/2021,51,70,85288,40265,126
18/11/2021,51,70,85288,40265,126
19/11/2021,51,70,85330,40260,122
20/11/2021,51,70,85330,40260,122
21/11/2021,51,70,85330,40260,122
22/11/2021,51,70,85330,40260,122
23/11/2021,51,70,85330,40260,122
24/11/2021,51,70,85330,40260,122
25/11/2021,51,70,85386,40270,122
29/11/2021,51,70,85391,40261,124
30/11/2021,51,70,85498,40255,124
01/12/2021,51,70,85501,40255,124
02/12/2021,51,70,85501,40255,124
03/12/2021,52,71,85853,40255,130
04/12/2021,52,71,85922,40256,130
05/12/2021,52,71,85922,40256,130
06/12/2021,52,71,85922,40256,130
07/12/2021,53,71,85922,40256,130
08/12/2021,53,71,85962,40256,130
09/12/2021,53,71,85962,40256,130
10/12/2021,52,71,85962,40256,130
11/12/2021,52,71,85962,40256,130
12/12/2021,52,71,85962,40256,130
13/12/2021,52,71,85962,40256,130
14/12/2021,51,70,85962,39405,130
15/12/2021,51,72,86236,39409,132
16/12/2021,55,72,86236,39409,132
17/12/2021,55,72,86236,39409,132
18/12/2021,55,72,86121,39409,132
19/12/2021,55,72,86121,39409,132
20/12/2021,55,72,86121,39409,132
21/12/2021,55,72,86121,39409,132
22/12/2021,55,72,86121,39409,132
23/12/2021,55,72,86133,39409,131
24/12/2021,55,72,86136,39409,131
25/12/2021,55,72,86156,39409,131
26/12/2021,55,72,86156,39409,131
28/12/2021,55,72,86221,39409,131
29/12/2021,55,72,86189,39409,130
30/12/2021,55,72,86189,39409,130
31/12/2021,55,72,86189,39409,130
01/01/2022,55,72,86189,39409,130
02/01/2022,55,72,86189,39409,130
03/01/2022,55,72,86189,39409,130
04/01/2022,55,72,86189,39409,130
05/01/2022,55,72,86189,39409,130
06/01/2022,55,72,86189,39409,130
07/01/2022,55,72,86189,39409,130
08/01/2022,55,72,86227,39409,130
09/01/2022,55,72,86227,39409,130
10/01/2022,55,72,86227,39409,130
11/01/2022,55,72,86182,39406,130
12/01/2022,55,72,86265,39406,126
13/01/2022,55,72,86265,39406,126
14/01/2022,55,72,86265,39406,126
15/01/2022,55,72,86265,39406,126
16/01/2022,55,72,86265,39406,126
17/01/2022,55,72,86265,39406,126
18/01/2022,55,72,86265,39406,126
19/01/2022,55,72,86265,39406,126
20/01/2022,55,72,86265,39406,126
21/01/2022,55,72,86270,39406,125
22/01/2022,55,72,86270,39406,125
23/01/2022,55,72,86270,39406,125
24/01/2022,55,72,86270,39406,125
25/01/2022,55,72,86270,39406,125
26/01/2022,55,72,86270,39406,125
27/01/2022,56,72,86270,39406,125
28/01/2022,55,72,86344,39406,125
29/01/2022,55,72,86380,39406,125
30/01/2022,55,72,86380,39406,125
31/01/2022,55,72,86380,39406,125
01/02/2022,55,72,86380,39406,125
02/02/2022,55,72,86380,39406,125
03/02/2022,55,72,86748,39406,125
04/02/2022,55,72,86748,39406,125
05/02/2022,55,72,86769,39406,125
06/02/2022,55,72,86769,39406,125
07/02/2022,55,72,86769,39406,125
08/02/2022,55,72,86949,39406,125
09/02/2022,55,72,86953,39406,125
10/02/2022,55,72,87102,39406,125
11/02/2022,55,72,86963,39422,125
12/02/2022,55,72,86906,39422,125
13/02/2022,55,72,86906,39422,125
14/02/2022,55,72,86906,39422,125
